url,clicks,impressions,ctr,position
https://claude-codex.fr/,41,715,"5,7 %","4,4"
https://claude-codex.fr/en/limits/vs-copilot/,12,1 253,1 %,"7,6"
https://claude-codex.fr/en/reference/environment/,8,1 129,"0,7 %","7,7"
https://claude-codex.fr/fr/,8,156,"5,1 %","3,2"
https://claude-codex.fr/en/reference/environment,2,904,"0,2 %","9,3"
https://claude-codex.fr/fr/content/bonnes-pratiques-securite/,2,267,"0,7 %","7,3"
https://claude-codex.fr/en/prompting/power-tips,2,33,"6,1 %","6,6"
https://claude-codex.fr/en/limits/vs-copilot,1,311,"0,3 %","6,3"
https://claude-codex.fr/en/,1,89,"1,1 %","5,7"
https://claude-codex.fr/fr/prompting/thinking-and-planning/,1,43,"2,3 %","5,7"
https://claude-codex.fr/en/skills/what-are-skills/,1,24,"4,2 %","6,5"
https://claude-codex.fr/en/plugins/best-security/,1,24,"4,2 %","7,2"
https://claude-codex.fr/fr/content/prompting-guide/,1,23,"4,3 %","7,0"
https://claude-codex.fr/fr/future/,1,15,"6,7 %","6,1"
https://claude-codex.fr/en/prompting/templates/,1,12,"8,3 %","6,1"
https://claude-codex.fr/skills/what-are-skills,1,11,"9,1 %","7,4"
https://claude-codex.fr/en/limits/when-not-to-use/,1,6,"16,7 %","9,8"
https://claude-codex.fr/en/agents/best-agents,1,3,"33,3 %","5,3"
https://claude-codex.fr/fr/use-cases/no-code,1,3,"33,3 %","7,7"
https://claude-codex.fr/fr/use-cases/no-code/,1,2,50 %,"3,0"
https://claude-codex.fr/en/skills,1,1,100 %,"5,0"
https://claude-codex.fr/en/content/bonnes-pratiques-securite/,0,231,0 %,"7,0"
https://claude-codex.fr/en/prompting/thinking-and-planning/,0,120,0 %,"9,3"
https://claude-codex.fr/fr/limits/vs-copilot/,0,84,0 %,"7,5"
https://claude-codex.fr/mcp/what-are-mcps,0,82,0 %,"6,4"
https://claude-codex.fr/en/skills/best-skills,0,80,0 %,"7,3"
https://claude-codex.fr/en/reference/cheatsheet/,0,67,0 %,"8,0"
https://claude-codex.fr/en/agents/what-are-agents/,0,58,0 %,"13,4"
https://claude-codex.fr/en/mcp/advanced-protocol,0,49,0 %,"7,3"
https://claude-codex.fr/fr/content/skills-guide/,0,41,0 %,"14,8"
https://claude-codex.fr/en/reference/,0,37,0 %,"12,7"
https://claude-codex.fr/en/prompting/context-management,0,35,0 %,"8,0"
